name,price,url
Диван Риббл-11 Bucle Silver,83990,https://www.divan.ru/product/divan-ribbl-11-bucle-silver
Диван угловой Льери Мини Velvet Yellow,69990,https://www.divan.ru/product/divan-uglovoj-leri-mini-velvet-yellow
Модульный диван Этен 3 Vertical Mix,140940,https://www.divan.ru/product/modulnyj-divan-eten-3-vertical-mix-old-07-12-2023
Диван Пайпел Bucle Yellow,49990,https://www.divan.ru/product/divan-pajpel-bucle-yellow
Диван Дара Velvet Lime,39990,https://www.divan.ru/product/divan-dara-velvet-lime
Диван угловой Аронт Мини Velvet Terra,56990,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-terra
Диван Боско-3 Land Blue,49990,https://www.divan.ru/product/divan-bosko-3-land-blue
Модульный диван Полан-2 Velvet Caramel,93960,https://www.divan.ru/product/modulnyj-divan-polan-2-velvet-caramel
Диван Пайпел Bucle Blue,49990,https://www.divan.ru/product/divan-pajpel-bucle-blue
Диван Кинси-3 Land Navy Blue,56990,https://www.divan.ru/product/divan-kinsi-3-land-navy-blue
Диван Сите-2 Velvet Smoke,26990,https://www.divan.ru/product/divan-site-2-velvet-smoke
Диван Массе Velvet Pink,59990,https://www.divan.ru/product/divan-masse-velvet-pink
Диван Дара Velvet Emerald,39990,https://www.divan.ru/product/divan-dara-velvet-emerald
Модульный диван Полан-1 Velvet Caramel,73970,https://www.divan.ru/product/modulnyj-divan-polan-1-velvet-caramel
Диван угловой Эдвин Velvet Moss,72990,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-moss
Диван Пайпел Bucle Forest,49990,https://www.divan.ru/product/divan-pajpel-bucle-forest
Диван Динс Мини Velvet Red,46990,https://www.divan.ru/product/divan-dins-mini-velvet-red
Модульный диван Этен 2 Vertical Milk,149940,https://www.divan.ru/product/modulnyj-divan-eten-2-vertical-milk
Диван угловой Нумо Velvet Green,46990,https://www.divan.ru/product/divan-uglovoj-numo-velvet-green
Диван Виенсо Bucle Smoky,79990,https://www.divan.ru/product/divan-vienso-bucle-smoky
Модульный диван Полан-3 Velvet Caramel,73960,https://www.divan.ru/product/modulnyj-divan-polan-3-velvet-caramel
Диван Пайпел-3 Bucle White,54990,https://www.divan.ru/product/divan-pajpel-3-bucle-white
Модульный диван Brera-2 Velour Lilac,109980,https://www.divan.ru/product/modulnyj-divan-brera-2-velour-lilac
